Designator,Mid X,Mid Y,Layer,Rotation
C1,25.4,10.16,Top,90
C10,10.16,16.51,Top,270
C2,31.75,10.16,Top,90
C3,48.26,24.13,Top,270
C4,30.25,32.29,Top,180
C5,30.48,16.51,Top,270
C6,26.67,31.12,Top,90
C7,10.13,24.13,Top,270
C8,48.26,16.51,Top,270
C9,34.29,35.56,Top,0
IC1,48.26,20.32,Top,90
IC2,10.16,20.32,Top,90
R1,6.35,15.88,Top,270
R10,41.91,15.88,Top,270
R11,22.86,28.58,Top,90
R12,27.3,20.32,Top,270
R13,50.8,39.37,Top,180
R14,16.51,15.88,Top,270
R15,19.05,16.51,Top,0
R16,19.05,2.54,Top,270
R18,39.37,16.51,Top,180
R19,39.37,2.54,Top,270
R2,34.29,12.7,Top,0
R20,52.07,15.88,Top,270
R21,54.61,16.51,Top,0
R22,49.53,2.54,Top,270
R23,35.56,27.94,Top,270
R24,35.56,20.32,Top,90
R25,6.35,29.21,Top,270
R3,29.21,7.62,Top,90
R4,24.88,13.97,Top,90
R5,22.86,6.73,Top,90
R6,50.8,34.29,Top,0
R7,6.35,34.29,Top,90
R8,4.19,16.51,Top,180
R9,3.81,2.54,Top,270